Guanica County,Count,Comp count,% dif,Notes: (original Image Quality),"Quality:(1:best,3:worst)"
117702Dorsal-NoFlash-1.png,74,50,-0.3870967742,"Merging scales ""inverted""",3
117702Dorsal-NoFlash-2.png,76,52,-0.375,Uneven rough scales. Bright spots and large dark areas ,3
117702Ventral-NoFlash-1.png,42,40,-0.0487804878,Good image: uneven size but good seperation,1
117702Ventral-NoFlash-2.png,27,29,0.07142857143,Harsh lighting but scales not illuminated in multiple places,1
117702Ventral-NoFlash-3.png,30,23,-0.2641509434,"""inverted"" but good seperations. Some harsh lighting",2
117702Ventral-NoFlash-4.png,25,20,-0.2222222222,Good seperation. Some dark spots on scales,1
117704Dorsal-NoFlash-1.png,72,60,-0.1818181818,Hard to see in some places. Fuzzy,3
117704Dorsal-NoFlash-2.png,150,143,-0.04778156997,Hard to see in some places: a bit fuzzy towards lower right. Hard to count by hand,2
117704Ventral-NoFlash-1.png,30,41,0.3098591549,Uneven lighting: some very bright spots on edges of the scales,3
117704Ventral-NoFlash-2.png,35,33,-0.05882352941,Very good image,1
117716Dorsal-NoFlash-1.png,98,133,0.303030303,Difficult to count by hand. Rough small scales. What is considerd a scale is up to interpretation,2
117716Dorsal-NoFlash-2.png,91,152,0.5020576132,Merging. Tiny rough scales difficult to count by hand,3
117716Ventral-NoFlash-1.png,33,78,0.8108108108,Harsh lighting. Lighting illuminates scales from different angles,3
117716Ventral-NoFlash-2.png,50,63,0.2300884956,Harsh lighting.,2
117716Ventral-NoFlash-3.png,27,31,0.1379310345,Unclear/fuzzy in some places. Flash used but not very harsh flash spots,2
117716Ventral-NoFlash-4.png,30,33,0.09523809524,"Very good image, though a bit dark",1
117716Ventral-NoFlash-5.png,42,60,0.3529411765,Rough scales and harsh lighting in some regions lead to overcount,2
117716Ventral-NoFlash-6.png,37,45,0.1951219512,Harsh lighting: uneven. Edges illuminated,3
117718Dorsal-NoFlash-1.png,140,173,0.2108626198,Small and not clearly defined. Merging sclaes. Dark in some regions of the image,3
117718Dorsal-NoFlash-2.png,90,113,0.2266009852,Scales are not clearly defined. Inverted in some places,3
117718Dorsal-NoFlash-3.png,70,88,0.2278481013,A bit dark in some areas and very bright for some scales.Not easy to count by hand,2
117718Ventral-NoFlash-1.png,39,39,0,Harsh illumination,2
117718Ventral-NoFlash-2.png,34,40,0.1621621622,Some harsh lighting lines. ,2
117718Ventral-NoFlash-3.png,41,61,0.3921568627,Hash lighting,3
135182Dorsal-NoFlash-1.png,115,138,0.1818181818,Some merging scales. rough,2
135182Dorsal-NoFlash-2.png,132,141,0.06593406593,Very good image. Clearly defined scales even though they are small,1
135182Dorsal-NoFlash-3.png,72,78,0.08,Very good image,1
135182Ventral-NoFlash-1.png,38,36,-0.05405405405,Very good image,1
135182Ventral-NoFlash-2.png,39,38,-0.02597402597,Very good image,1
135182Ventral-NoFlash-3.png,30,30,0,Very good image,1
135185Dorsal-NoFlash-1.png,93,64,-0.3694267516,"""inverting"". Not clearly defined scales",3
135185Dorsal-NoFlash-2.png,90,106,0.1632653061,"Uneven lighting. ""inverted"" in some places.  Merging rough scales ",3
135185Ventral-NoFlash-1.png,37,36,-0.02739726027,Very good image,1
"135185Ventral-NoFlash-2.png
",30,23,-0.2641509434,Very good image,1
135185Ventral-NoFlash-3.png,38,36,-0.05405405405,Very good image,1
135193Dorsal-NoFlash-1.png,70,79,0.1208053691,Good image. Some even bright spots and roughness,1
135193Dorsal-NoFlash-2.png,85,74,-0.1383647799,Some scales hard to identify: merging and rough,2
135193Dorsal-NoFlash-3.png,80,80,0,Very good image,1
135193Ventral-NoFlash-1.png,44,44,0,Very good image,1
135193Ventral-NoFlash-2.png,36,33,-0.08695652174,Very good image,1
135193Ventral-NoFlash-3.png,46,42,-0.09090909091,Very good image,1
135193Ventral-NoFlash-4.png,36,34,-0.05714285714,Very good image,1
135196Ventral-NoFlash-1.png,52,56,0.07407407407,Very good image,1
135196Ventral-NoFlash-2.png,46,45,-0.02197802198,Very good image,1
135196Ventral-NoFlash-3.png,50,46,-0.08333333333,Very good image except in lower right corner,1